,City,City ID,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
331,Okhotsk,2122605,24.75,96,97,1.7,59.38,143.3
332,Altay,1529651,43.72,39,64,5.1,47.87,88.12
333,Keningau,1734098,80.26,78,20,2.24,5.34,116.16
334,Samarai,2132606,78.13,71,84,3.33,-10.62,150.67
335,Purpe,1539210,36.0,83,100,5.01,64.48,76.69
336,Bemidji,5017822,39.99,51,75,11.41,47.47,-94.88
337,Quatre Cocos,1106643,77.54,73,75,13.87,-20.21,57.76
338,Tsimmerbude,485660,44.6,59,70,4.47,54.67,20.13
339,Banda Aceh,1215502,80.08,82,40,6.51,5.56,95.32
340,Bambous Virieux,1106677,77.49,73,75,13.87,-20.34,57.76
341,Kaitangata,2208248,51.01,90,87,1.01,-46.28,169.85
342,Vanimo,2084442,79.56,84,66,1.61,-2.67,141.3
343,Coaticook,5924500,31.87,64,90,12.75,45.13,-71.8
344,Kapit,1737185,73.6,94,84,0.49,2.02,112.93
345,Serenje,898912,60.62,65,61,3.96,-13.23,30.24
346,Santiago del Estero,3835869,79.41,37,0,11.79,-27.8,-64.26
347,Sitka,5557293,36.84,59,1,3.36,57.05,-135.33
348,Fushun,2037355,46.4,36,3,6.71,41.86,123.92
349,Ābādān,145459,80.19,28,50,6.93,30.34,48.3
350,Sarany,498696,33.01,78,100,6.33,58.5,58.88
351,Hambantota,1244926,82.18,79,16,11.61,6.12,81.12
352,Salinas,5391295,55.45,81,90,3.36,36.68,-121.66
353,Paracuru,3393115,85.48,66,40,12.75,-3.41,-39.03
354,Berlevåg,780687,25.21,89,95,6.62,70.86,29.09
355,Jining,1805518,43.68,58,0,9.46,35.41,116.58
356,Bahía Blanca,3865086,75.76,37,87,15.32,-38.72,-62.27
357,Nangong,1800065,49.24,40,0,8.95,37.36,115.37
358,Sistranda,3139597,44.35,65,75,4.7,63.73,8.83
359,San Quintín,3984997,61.88,64,32,13.71,30.48,-115.95
360,Catherinas Lust,3378690,81.57,68,100,9.31,6.4,-57.6
361,Yankton,5233053,49.98,45,1,10.29,42.87,-97.4
362,Kalmunai,1242110,81.99,77,15,6.11,7.42,81.82
363,Youkounkoun,2414055,104.97,13,41,2.84,12.53,-13.13
364,Obihiro,2128815,27.93,93,58,0.4,42.92,143.2
365,Vestmannaeyjar,3412093,45.0,84,94,6.06,63.44,-20.27
